cpe,rows,Descrição,Estado,Comercializador,CPE,Morada do Local de Consumo,Data de Inicio do Contrato,Data de Fim do Contrato,Tipo de Instalação,Potência Contratada,Potência Certificada,Potência Máxima Admissível/Requisitada,Nome,NIF,Morada de Correspondência,Email,Telefone,Telemóvel,consumos,abastecimento
PT0002000067909309XH,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000067909309XH,Rua Rosa 168 ++ 1200-381 Lisboa,2013-04-06,-,Trifásica,41.41 kVA,126.00 kVA,126.00 kVA,Municipio Lisboa,PT500051070,Camp Grande 25 8 A 1749-099 Lisboa ,gabriela.marques@cm-lisboa.pt,213942539,965158950,True,BTE
PT0002000110320491LM,row 1,LISBOA,Ativo,EDP Comercial - Comercializ. Energia SA,PT0002000110320491LM,Av Afonso Costa 9129 1900-031 Lisboa,2014-06-27,-,Trifásica,478.00 kVA,"1,000.00 kVA","1,000.00 kVA",Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,MT
PT0002000065164448QT,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000065164448QT,Rua Alexandre Herculano 9001 -- 1150-005 Lisboa,2016-10-26,-,Trifásica,144.00 kVA,330.00 kVA,330.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000076621408XQ,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000076621408XQ,Parq Expo 9185 -- Qg06 1990 Lisboa,2016-10-29,-,Trifásica,41.41 kVA,69.00 kVA,69.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000065169809LW,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000065169809LW,Av Calouste Gulbenkian 9001 -- Polici 1070-024 Lisboa,2016-10-29,-,Trifásica,163.00 kVA,264.00 kVA,264.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000100565022BD,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000100565022BD,Rua Manuel Marques 4 4 F 1750-169 Lisboa,2016-10-29,-,Trifásica,41.41 kVA,50.00 kVA,50.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000075895021FS,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000075895021FS,Av Dom Joao Ii Lt 9001 -- Acs 10 1900 Lisboa,2016-10-29,-,Trifásica,41.41 kVA,69.00 kVA,69.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000078850926RY,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000078850926RY,Rua Joao Silva 9000 -- Pavilh 1900-271 Lisboa,2016-10-29,-,Trifásica,192.00 kVA,400.00 kVA,400.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000065186568BV,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000065186568BV,Estr Lumiar 9001 -- 1600-546 Lisboa,2016-10-29,-,Trifásica,41.41 kVA,99.00 kVA,99.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000065186832TM,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000065186832TM,Rua Machadinho 9001 -- Palaci 1200-705 Lisboa,2016-10-29,-,Trifásica,73.00 kVA,132.00 kVA,132.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000074122401XM,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000074122401XM,Prc Eduardo Mondlane Lt 556 ++ A 1950-103 Lisboa,2016-10-29,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000103636871DR,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000103636871DR,Pard Alto S Joao 9001 -- Elect 1900-050 Lisboa,2016-10-29,-,Trifásica,67.00 kVA,184.30 kVA,184.30 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
PT0002000066081142JY,row 1,LISBOA,Ativo,GALP POWER SA,PT0002000066081142JY,Rua Palma 246 -- 1100-390 Lisboa,2016-10-29,-,Trifásica,50.00 kVA,198.00 kVA,198.00 kVA,Municipio De Lisboa ,PT500051070,Edificio Camara Munic Lisboa 25 8º Blo 1749-099 Lisboa ,MARGARIDA.PORTELA@CM-LISBOA.PT,21XXXXX47,918395778,True,BTE
