cpe,rows,Descrição,Estado,Comercializador,CPE,Morada do Local de Consumo,Data de Inicio do Contrato,Data de Fim do Contrato,Tipo de Instalação,Potência Contratada,Potência Certificada,Potência Máxima Admissível/Requisitada,Nome,NIF,Morada de Correspondência,Email,Telefone,Telemóvel,consumos,abastecimento
PT0002000065178765VB,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065178765VB,Calc Eng Miguel Pais 32 -- 1200-174 Lisboa,2018-04-08,-,Trifásica,116.25 kVA,250.00 kVA,250.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000066400783HQ,row 1,ALCABIDECHE,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000066400783HQ,Rua Conde Barao 9999 -- 2645-109 Alcabideche,2018-04-08,-,Trifásica,531.00 kVA,500.00 kVA,500.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000073697991AZ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000073697991AZ,Rua Conde Ficalho 4 1700-114 Lisboa,2018-04-09,-,Trifásica,146.48 kVA,315.00 kVA,315.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000065164209MZ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065164209MZ,Rua Alexandre Herculano 16 Lj 1250-011 Lisboa,2018-04-09,-,Trifásica,58.13 kVA,125.00 kVA,125.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000065191431QG,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065191431QG,Rua Presidente Arriaga 24 -- 1200 Lisboa,2018-04-09,-,Trifásica,93.00 kVA,200.00 kVA,200.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000065194704CB,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065194704CB,Rua S Pedro Alcantara 85 -- 1250 Lisboa,2018-04-09,-,Trifásica,93.00 kVA,200.00 kVA,200.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000120425695YK,row 1,PRIOR VELHO,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000120425695YK,Rua Guine 6 2685-334 Prior Velho,2018-04-09,-,Trifásica,292.95 kVA,630.00 kVA,580.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000066414622ED,row 1,RIO DE MOURO,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000066414622ED,Av Combatentes Cl 9999 -- 2635-029 Rio De Mouro,2018-04-09,-,Trifásica,282.63 kVA,345.00 kVA,345.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000116657701XW,row 1,CASCAIS,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000116657701XW,Rua Chesol 9910 -- 2750-024 Cascais,2018-04-10,-,Trifásica,186.00 kVA,400.00 kVA,300.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000066404252PN,row 1,PAREDE,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000066404252PN,Rua Benguela 9998 -- 2775-330 Parede,2018-04-09,-,Trifásica,744.00 kVA,"1,600.00 kVA","1,200.00 kVA",Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000085026959EX,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000085026959EX,Estr Calhariz Benfica 179 -- Lar 1500-121 Lisboa,2018-04-09,-,Trifásica,74.40 kVA,160.00 kVA,160.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000106488971CD,row 1,EVORA MONTE,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000106488971CD,Herd Monte Cima 9000 7100 Evora Monte,2018-04-09,-,Trifásica,11.63 kVA,25.00 kVA,25.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000069445572NL,row 1,MALVEIRA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000069445572NL,Casa Frente Pousal 9003 -- 2665 Malveira,2018-04-09,-,Trifásica,116.99 kVA,250.00 kVA,250.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000065163593RL,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065163593RL,Rua Acucar 9001 -- 1950-008 Lisboa,2018-04-09,-,Trifásica,74.00 kVA,118.00 kVA,118.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
